# Solver information
# Time        	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
1.12143       	smoothSolver	1.512170e-03	9.992660e-08	615	true	smoothSolver	1.523640e-03	9.852250e-08	339	true	GAMG	1.479090e-02	5.082500e-05	2	true
1.12857       	smoothSolver	2.409000e-03	9.913370e-08	625	true	smoothSolver	1.818960e-03	9.909310e-08	345	true	GAMG	1.137870e-02	3.512950e-05	2	true
1.13571       	smoothSolver	2.172810e-03	9.934370e-08	623	true	smoothSolver	1.768930e-03	9.917260e-08	346	true	GAMG	9.027230e-03	2.772370e-05	2	true
1.14286       	smoothSolver	1.061270e-03	9.971860e-08	631	true	smoothSolver	1.352870e-03	9.932470e-08	351	true	GAMG	8.838920e-03	3.316660e-05	2	true
1.15          	smoothSolver	9.189950e-04	9.924990e-08	636	true	smoothSolver	1.281390e-03	9.959190e-08	354	true	GAMG	8.736150e-03	2.612100e-05	2	true
1.15714       	smoothSolver	8.550450e-04	9.902760e-08	651	true	smoothSolver	1.240990e-03	9.842750e-08	363	true	GAMG	9.034160e-03	3.264100e-05	2	true
1.16429       	smoothSolver	8.575360e-04	9.937990e-08	672	true	smoothSolver	1.236800e-03	9.897010e-08	375	true	GAMG	8.741700e-03	2.718220e-05	2	true
1.17143       	smoothSolver	8.887240e-04	9.957340e-08	849	true	smoothSolver	1.243150e-03	9.973480e-08	462	true	GAMG	9.698510e-03	3.848510e-05	2	true
1.17857       	smoothSolver	8.809350e-04	9.977310e-08	771	true	smoothSolver	1.227700e-03	9.871460e-08	417	true	GAMG	9.544760e-03	3.262690e-05	2	true
1.18571       	smoothSolver	8.462750e-04	9.954460e-08	729	true	smoothSolver	1.202400e-03	9.901650e-08	394	true	GAMG	9.061320e-03	3.436790e-05	2	true
1.19286       	smoothSolver	8.205310e-04	9.990500e-08	698	true	smoothSolver	1.180390e-03	9.859120e-08	378	true	GAMG	8.646700e-03	2.886270e-05	2	true
1.2           	smoothSolver	8.225310e-04	9.995440e-08	672	true	smoothSolver	1.173900e-03	9.951740e-08	364	true	GAMG	8.721700e-03	3.375790e-05	2	true
1.20714       	smoothSolver	8.214750e-04	9.901580e-08	659	true	smoothSolver	1.171010e-03	9.944030e-08	358	true	GAMG	8.359610e-03	2.764130e-05	2	true
1.21429       	smoothSolver	8.131950e-04	9.971910e-08	640	true	smoothSolver	1.160380e-03	9.846500e-08	349	true	GAMG	7.839530e-03	2.865580e-05	2	true
1.22143       	smoothSolver	7.615640e-04	9.998420e-08	626	true	smoothSolver	1.132860e-03	9.882000e-08	342	true	GAMG	8.679000e-03	2.829280e-05	2	true
1.22857       	smoothSolver	7.802870e-04	9.965680e-08	612	true	smoothSolver	1.137330e-03	9.900310e-08	335	true	GAMG	9.151470e-03	2.680870e-05	2	true
1.23571       	smoothSolver	7.524330e-04	9.958500e-08	605	true	smoothSolver	1.120930e-03	9.855300e-08	332	true	GAMG	9.469190e-03	2.811550e-05	2	true
1.24286       	smoothSolver	7.808610e-04	9.902780e-08	597	true	smoothSolver	1.119230e-03	9.826140e-08	329	true	GAMG	9.573530e-03	2.632730e-05	2	true
1.25          	smoothSolver	7.302150e-04	9.932140e-08	588	true	smoothSolver	1.090970e-03	9.976420e-08	324	true	GAMG	9.516490e-03	2.367440e-05	2	true
1.25625       	smoothSolver	6.785160e-04	9.900240e-08	510	true	smoothSolver	9.978260e-04	9.908920e-08	281	true	GAMG	8.335720e-03	2.257440e-05	2	true
1.2625        	smoothSolver	7.046260e-04	9.884990e-08	502	true	smoothSolver	1.001280e-03	9.861600e-08	278	true	GAMG	7.998440e-03	1.938410e-05	2	true
