# y+ ()       
# Time        	patch         	min           	max           	average       
3.5           	rightWall	3.258298e-01	2.941868e+01	9.855872e+00
3.5           	leftWall	7.446608e-01	4.879763e+01	1.488220e+01
3.5           	lowerWall	1.197874e+00	9.976915e+01	3.314237e+01
3.55          	rightWall	6.113348e-01	2.905190e+01	9.966586e+00
3.55          	leftWall	6.670669e-01	4.875549e+01	1.487754e+01
3.55          	lowerWall	1.109784e+00	1.021451e+02	3.343508e+01
3.6           	rightWall	6.251617e-01	2.856134e+01	9.936732e+00
3.6           	leftWall	5.928146e-01	4.858426e+01	1.477161e+01
3.6           	lowerWall	1.167409e+00	1.043612e+02	3.370771e+01
3.65          	rightWall	5.699391e-01	2.803783e+01	9.855290e+00
3.65          	leftWall	5.088798e-01	4.835043e+01	1.467087e+01
3.65          	lowerWall	1.275554e+00	1.064653e+02	3.396996e+01
3.7           	rightWall	5.524730e-01	2.783864e+01	9.877905e+00
3.7           	leftWall	3.982583e-01	4.797745e+01	1.448224e+01
3.7           	lowerWall	1.271336e+00	1.082930e+02	3.409959e+01
3.75          	rightWall	5.033300e-01	2.763964e+01	9.849879e+00
3.75          	leftWall	3.360843e-01	4.760805e+01	1.427792e+01
3.75          	lowerWall	1.075896e+00	1.093654e+02	3.427090e+01
3.8           	rightWall	4.679555e-01	2.743505e+01	9.747373e+00
3.8           	leftWall	2.685858e-01	4.712977e+01	1.410930e+01
3.8           	lowerWall	1.700651e+00	1.101050e+02	3.445361e+01
3.85          	rightWall	4.250370e-01	2.728763e+01	9.649805e+00
3.85          	leftWall	1.983832e-01	4.662343e+01	1.387376e+01
3.85          	lowerWall	1.707924e+00	1.101820e+02	3.460521e+01
3.9           	rightWall	3.771137e-01	2.721333e+01	9.642945e+00
3.9           	leftWall	1.689055e-01	4.607695e+01	1.366361e+01
3.9           	lowerWall	1.754954e+00	1.096147e+02	3.470848e+01
3.95          	rightWall	3.405576e-01	2.732255e+01	9.625354e+00
3.95          	leftWall	1.149717e-01	4.547015e+01	1.338593e+01
3.95          	lowerWall	1.834071e+00	1.085649e+02	3.474336e+01
4             	rightWall	2.783600e-01	2.747945e+01	9.547034e+00
4             	leftWall	5.870336e-02	4.487243e+01	1.309872e+01
4             	lowerWall	1.399179e+00	1.073337e+02	3.480795e+01
4.05          	rightWall	9.870249e-02	2.773440e+01	9.454408e+00
4.05          	leftWall	8.730525e-02	4.420047e+01	1.281273e+01
4.05          	lowerWall	5.902908e-01	1.070137e+02	3.473397e+01
4.1           	rightWall	1.527119e-01	2.794481e+01	9.365111e+00
4.1           	leftWall	1.803670e-01	4.352459e+01	1.251620e+01
4.1           	lowerWall	1.086944e+00	1.070567e+02	3.461417e+01
4.15          	rightWall	1.299588e-01	2.808368e+01	9.372825e+00
4.15          	leftWall	1.784955e-01	4.281694e+01	1.224039e+01
4.15          	lowerWall	1.487447e+00	1.078379e+02	3.445499e+01
4.2           	rightWall	1.885144e-01	2.856353e+01	9.421960e+00
4.2           	leftWall	1.865334e-01	4.206154e+01	1.189776e+01
