# y+ ()         
# Time          	patch           	min             	max             	average         
4.5             	rightWall	1.11698039e+00	3.15444514e+01	1.04280199e+01
4.5             	leftWall	3.33222360e-01	3.71418693e+01	9.80274353e+00
4.5             	lowerWall	1.91000563e+00	1.07175373e+02	3.30628243e+01
4.55            	rightWall	9.88087461e-01	3.21079300e+01	1.07241743e+01
4.55            	leftWall	3.45497512e-01	3.62464372e+01	9.44907737e+00
4.55            	lowerWall	1.94805361e+00	1.05252797e+02	3.20756587e+01
4.6             	rightWall	7.30042349e-01	3.27182571e+01	1.08965172e+01
4.6             	leftWall	2.60296918e-01	3.53355904e+01	9.17177067e+00
4.6             	lowerWall	1.35703583e+00	9.05027267e+01	3.06959168e+01
4.65            	rightWall	4.79251253e-01	3.33290963e+01	1.09834906e+01
4.65            	leftWall	3.45468101e-01	3.44789375e+01	8.99091480e+00
4.65            	lowerWall	1.63795042e+00	7.48685804e+01	2.95072004e+01
4.7             	rightWall	2.99805877e-01	3.39362492e+01	1.12202744e+01
4.7             	leftWall	3.37461291e-01	3.36122387e+01	8.95506001e+00
4.7             	lowerWall	1.43575898e+00	6.86036430e+01	2.84089764e+01
4.75            	rightWall	4.34534720e-01	3.47423292e+01	1.14011091e+01
4.75            	leftWall	2.71465703e-01	3.27824949e+01	8.78508070e+00
4.75            	lowerWall	1.40408884e+00	6.23462262e+01	2.74384373e+01
4.8             	rightWall	4.36434045e-01	3.56605115e+01	1.15176578e+01
4.8             	leftWall	3.00658696e-01	3.19441982e+01	8.64375729e+00
4.8             	lowerWall	1.58583159e+00	5.64217345e+01	2.67066530e+01
4.85            	rightWall	2.40134263e-01	3.66801302e+01	1.16612441e+01
4.85            	leftWall	4.19999499e-01	3.12029760e+01	8.48081309e+00
4.85            	lowerWall	1.63773774e+00	6.30674673e+01	2.63950814e+01
4.9             	rightWall	3.71341937e-01	3.77266794e+01	1.17777734e+01
4.9             	leftWall	4.83429898e-01	3.04416136e+01	8.32830958e+00
4.9             	lowerWall	1.88550812e+00	6.94871514e+01	2.60633919e+01
4.95            	rightWall	2.52324397e-01	3.87859746e+01	1.20504348e+01
4.95            	leftWall	5.05489842e-01	2.96558576e+01	8.24847078e+00
4.95            	lowerWall	1.74927109e+00	7.56396913e+01	2.59709088e+01
5               	rightWall	3.29038409e-01	3.98582753e+01	1.23341001e+01
5               	leftWall	3.01532472e-01	2.88477577e+01	8.23799867e+00
5               	lowerWall	1.51224049e+00	8.17900302e+01	2.55441438e+01
5.05            	rightWall	5.00212001e-01	4.09254845e+01	1.26882352e+01
5.05            	leftWall	4.78121147e-01	2.80460878e+01	8.16883420e+00
5.05            	lowerWall	6.36383317e-01	8.14834642e+01	2.51413939e+01
5.1             	rightWall	5.64862501e-01	4.19598252e+01	1.29681989e+01
5.1             	leftWall	1.99889145e-01	2.72598383e+01	8.06874751e+00
5.1             	lowerWall	6.28956760e-01	7.79702275e+01	2.47884576e+01
5.15            	rightWall	5.78183672e-01	4.29106264e+01	1.31974445e+01
5.15            	leftWall	3.37542662e-01	2.64853650e+01	8.00252154e+00
5.15            	lowerWall	6.42852912e-01	7.94028208e+01	2.45170085e+01
5.2             	rightWall	5.86848906e-01	4.37598328e+01	1.34236497e+01
5.2             	leftWall	4.16306903e-01	2.57506449e+01	7.98183440e+00
5.2             	lowerWall	7.84876019e-01	8.09832005e+01	2.43279611e+01
5.25            	rightWall	5.86655065e-01	4.44887378e+01	1.37372888e+01
5.25            	leftWall	4.03183663e-01	2.50773413e+01	7.81239981e+00
5.25            	lowerWall	5.94567408e-01	8.37295236e+01	2.43070889e+01
5.3             	rightWall	5.62913844e-01	4.50722119e+01	1.39782176e+01
5.3             	leftWall	3.70996672e-01	2.48147959e+01	7.75249241e+00
5.3             	lowerWall	4.25581122e-01	8.62969942e+01	2.42225018e+01
5.35            	rightWall	5.19476966e-01	4.54901482e+01	1.42016046e+01
5.35            	leftWall	3.98666229e-01	2.48124722e+01	7.75592492e+00
5.35            	lowerWall	5.45470278e-01	8.84014757e+01	2.42173643e+01
5.4             	rightWall	4.73904002e-01	4.57477805e+01	1.43996671e+01
5.4             	leftWall	3.91947696e-01	2.49769277e+01	7.72625668e+00
5.4             	lowerWall	7.69887323e-01	5.94996374e+01	2.42471046e+01
5.45            	rightWall	4.17380743e-01	4.58639805e+01	1.45605304e+01
5.45            	leftWall	3.98335743e-01	2.52806024e+01	7.71923864e+00
5.45            	lowerWall	1.08596639e+00	7.75001026e+01	2.46575223e+01
5.5             	rightWall	3.94595756e-01	4.58739731e+01	1.46949739e+01
5.5             	leftWall	5.42525841e-01	2.56628560e+01	7.73224426e+00
5.5             	lowerWall	9.99927206e-01	9.28671579e+01	2.57701000e+01
5.55            	rightWall	3.36749623e-01	4.58024694e+01	1.47666074e+01
5.55            	leftWall	6.51333696e-01	2.60707953e+01	7.75586964e+00
5.55            	lowerWall	1.21616431e+00	9.76513824e+01	2.63399088e+01
5.6             	rightWall	2.74824509e-01	4.56670380e+01	1.47930371e+01
5.6             	leftWall	6.32598188e-01	2.64885791e+01	7.77867390e+00
5.6             	lowerWall	1.84174457e+00	9.48357517e+01	2.67446663e+01
5.65            	rightWall	2.09431493e-01	4.55133088e+01	1.47801261e+01
5.65            	leftWall	6.16164016e-01	2.68536684e+01	7.80141554e+00
5.65            	lowerWall	1.67669857e+00	8.25823346e+01	2.71773963e+01
5.7             	rightWall	2.20819258e-01	4.53118993e+01	1.47313208e+01
5.7             	leftWall	6.07219121e-01	2.71396886e+01	7.94004465e+00
5.7             	lowerWall	1.42613942e+00	1.03779024e+02	2.83046107e+01
5.75            	rightWall	4.93704856e-01	4.50685790e+01	1.46502599e+01
5.75            	leftWall	5.99122781e-01	2.73283808e+01	8.01666901e+00
5.75            	lowerWall	1.10015882e+00	1.07224515e+02	2.92865112e+01
5.8             	rightWall	5.08352432e-01	4.47873166e+01	1.45367259e+01
5.8             	leftWall	5.81389907e-01	2.74092143e+01	8.01849563e+00
5.8             	lowerWall	5.98879334e-01	1.08735396e+02	3.00780944e+01
5.85            	rightWall	5.12022361e-01	4.45216641e+01	1.44148606e+01
5.85            	leftWall	5.53914190e-01	2.73958464e+01	8.00999257e+00
5.85            	lowerWall	8.26072647e-01	1.09721282e+02	3.08931780e+01
5.9             	rightWall	5.37138962e-01	4.42462537e+01	1.42471779e+01
5.9             	leftWall	1.26248980e-01	2.73983412e+01	8.04753519e+00
5.9             	lowerWall	9.54257199e-01	1.10350542e+02	3.14294957e+01
5.95            	rightWall	5.57951769e-01	4.39138917e+01	1.40661614e+01
5.95            	leftWall	1.89727757e-01	2.74752799e+01	8.16809081e+00
5.95            	lowerWall	5.81571755e-01	1.07694181e+02	3.20616642e+01
6               	rightWall	5.37357552e-01	4.36104731e+01	1.38232304e+01
6               	leftWall	1.90144235e-01	2.74519687e+01	8.20705001e+00
6               	lowerWall	1.06355361e+00	1.08332710e+02	3.27821064e+01
6.05            	rightWall	5.25463653e-01	4.32429864e+01	1.35863083e+01
6.05            	leftWall	2.10609462e-01	2.73638420e+01	8.26738197e+00
6.05            	lowerWall	1.32327558e+00	1.09858192e+02	3.33146311e+01
6.1             	rightWall	3.59905346e-01	4.28932689e+01	1.31816916e+01
6.1             	leftWall	2.73879855e-01	2.74283187e+01	8.51249111e+00
6.1             	lowerWall	1.32298877e+00	1.07697029e+02	3.39073166e+01
6.15            	rightWall	1.22377695e-01	4.24879467e+01	1.28673060e+01
6.15            	leftWall	3.01164784e-01	2.74804984e+01	8.61340223e+00
6.15            	lowerWall	1.23151050e+00	1.08401885e+02	3.41050674e+01
6.2             	rightWall	1.46285807e-01	4.20275958e+01	1.25234280e+01
6.2             	leftWall	5.40980473e-01	2.74814070e+01	8.88996516e+00
6.2             	lowerWall	5.72224705e-01	1.08360805e+02	3.41785607e+01
6.25            	rightWall	2.74391881e-01	4.15645459e+01	1.22218882e+01
